dataset,accuracy,time_training_seconds,time_test_seconds,our_accuracy,our_balanced_accuracy,our_macro_f1,our_train_time_seconds,our_test_time_seconds,train_size,test_size,series_length,num_classes,accuracy_diff,train_time_diff,test_time_diff
MixedShapesSmallTrain,0.941388,0.39,3.9,0.9517525773195876,0.9508467864390425,0.9521458329735187,0.17513608932495117,0.8469851016998291,100,2425,1024,5,0.01036457731958762,-0.21486391067504884,-3.053014898300171
MoteStrain,0.912913,0.06,0.59,0.9233226837060703,0.920207972270364,0.922351773753411,0.032273054122924805,0.1276240348815918,20,1252,84,2,0.010409683706070316,-0.027726945877075193,-0.46237596511840817
OSULeaf,0.957576,0.34,0.23,0.9462809917355371,0.9339277871886568,0.9418302101705899,0.12488603591918945,0.07596778869628906,200,242,427,6,-0.011295008264462836,-0.21511396408081057,-0.15403221130371095
OliveOil,0.914444,0.17,0.04,0.9666666666666667,0.9791666666666666,0.9759725400457666,0.08246922492980957,0.025117874145507812,30,30,570,4,0.05222266666666664,-0.08753077507019044,-0.014882125854492188
PhalangesOutlinesCorrect,0.84223,3.29,0.35,0.8368298368298368,0.8124856841815933,0.8216915257457724,1.2864882946014404,0.07810187339782715,1800,858,80,2,-0.00540016317016323,-2.0035117053985596,-0.27189812660217283
Phoneme,0.271871,0.62,3.11,0.2911392405063291,0.144842893110232,0.13953883662959748,0.21317195892333984,0.7361130714416504,214,1896,1024,39,0.019268240506329137,-0.40682804107666015,-2.3738869285583495
PigAirwayPressure,0.872756,0.66,0.72,0.875,0.875,0.8694250194250193,0.22733616828918457,0.2663450241088867,104,208,2000,52,0.0022440000000000238,-0.43266383171081546,-0.45365497589111325
PigArtPressure,0.9625,0.65,0.73,0.9759615384615384,0.9759615384615384,0.9746031746031746,0.25248193740844727,0.2891111373901367,104,208,2000,52,0.013461538461538414,-0.39751806259155276,-0.44088886260986326
PigCVP,0.91859,0.67,0.74,0.9471153846153846,0.9471153846153846,0.9471361971361969,0.2976651191711426,0.247208833694458,104,208,2000,52,0.028525384615384564,-0.37233488082885746,-0.492791166305542
Plane,1.0,0.18,0.06,1.0,1.0,1.0,0.05806112289428711,0.021541833877563477,105,105,144,7,0.0,-0.12193887710571288,-0.03845816612243652
PowerCons,0.983704,0.24,0.09,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.07517313957214355,0.032033681869506836,180,180,144,2,0.0051848888888889055,-0.16482686042785644,-0.05796631813049316
ProximalPhalanxOutlineAgeGroup,0.856585,0.37,0.09,0.8390243902439024,0.7516221033868092,0.7392020440912604,0.1245718002319336,0.03234505653381348,400,205,80,3,-0.017560609756097634,-0.2454281997680664,-0.05765494346618652
ProximalPhalanxOutlineCorrect,0.894158,0.59,0.13,0.9037800687285223,0.859514966135023,0.8811413233749562,0.24219489097595215,0.03577399253845215,600,291,80,2,0.009622068728522337,-0.3478051090240478,-0.09422600746154786
ProximalPhalanxTW,0.802114,0.38,0.09,0.7951219512195122,0.4961087420042644,0.49526402930379415,0.14898085594177246,0.027348041534423828,400,205,80,6,-0.0069920487804877585,-0.23101914405822754,-0.06265195846557617
